Number|Station name                             |Latitude|Longitud|Stat|Elevat.|Distance (km)
 75001|BALPOOL (NYANG)                          |-35.1500|144.2000|NSW |   71.6|1541.5
 12033|GRASS PATCH                              |-33.2256|121.7375|WA  |  210.0|1541.8
 79022|HARROW (PINE HILLS)                      |-37.0826|141.5633|VIC |  165.0|1542.9
 26014|LAKE LEAKE (KOOEEYONG)                   |-37.6051|140.5793|SA  |  105.0|1543.1
 50053|BOBADAH (AVOCA)                          |-32.2833|146.7000|NSW |  365.8|1543.2
 79082|HORSHAM                                  |-36.7007|142.2009|VIC |  140.0|1543.3
 26036|PENOLA STATE FOREST RESERVE              |-37.4886|140.8269|SA  |   65.0|1543.6
  7061|MULGUL                                   |-24.8333|118.4717|WA  |  500.0|1543.8
 80001|BENJEROOP (DAVEY)                        |-35.5100|143.8250|VIC |   73.1|1543.9
 75175|HAY CSIRO AWS                            |-34.5471|144.8670|NSW |   90.0|1544.1
 48036|WALGETT (DUNGALEAR)                      |-29.6644|148.1152|NSW |  137.0|1544.1
 78016|JUNG                                     |-36.6064|142.3608|VIC |  152.4|1544.1
 43039|WERIBONE                                 |-27.3442|148.8781|QLD |  231.0|1544.3
 78029|MINYIP (POST OFFICE)                     |-36.4597|142.5881|VIC |  129.8|1544.6
 26009|KALANGADOO                               |-37.5659|140.6955|SA  |   70.0|1544.7
 35007|BAUHINIA DOWNS STORE                     |-24.5708|149.2919|QLD |  146.0|1544.8
 78002|CORACK EAST                              |-36.1000|143.1000|VIC |  108.4|1545.1
 78055|CORACK EAST 2                            |-36.1000|143.1000|VIC |  108.4|1545.1
 33106|HAMILTON ISLAND AIRPORT                  |-20.3658|148.9536|QLD |   58.7|1545.2
 78027|LITCHFIELD                               |-36.2833|142.8500|VIC |  117.0|1545.2
 33255|HAMILTON ISLAND                          |-20.3528|148.9511|QLD |   22.6|1545.2
 33024|FARLEIGH RAILWAY STATION                 |-21.1000|149.1000|QLD |   40.0|1545.4
 33023|FARLEIGH CO-OP SUGAR MILL                |-21.1011|149.1022|QLD |   46.6|1545.6
